,score_x,qubits_4_layer_1,qubits_4_layer_2,qubits_4_layer_3,qubits_4_layer_4,qubits_4_layer_5,qubits_4_layer_6,qubits_4_layer_7,qubits_4_layer_8,qubits_4_layer_9,qubits_4_layer_10,qubits_4_layer_11,qubits_4_layer_12,qubits_4_layer_13,qubits_4_layer_14,qubits_4_layer_15,qubits_3_layer_1,qubits_3_layer_2,qubits_3_layer_3,qubits_3_layer_4,qubits_3_layer_5,qubits_3_layer_6,qubits_3_layer_7,qubits_3_layer_8,qubits_3_layer_9,qubits_3_layer_10,qubits_3_layer_11,qubits_3_layer_12,qubits_3_layer_13,qubits_3_layer_14,qubits_3_layer_15,qubits_3_layer_16,qubits_3_layer_17,qubits_5_layer_1,qubits_5_layer_2,qubits_5_layer_3,qubits_5_layer_4,qubits_5_layer_5,qubits_5_layer_6,qubits_5_layer_7,qubits_5_layer_8,qubits_5_layer_9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,0.0024,0.0142,0.0129,0.0103,0.0071,0.0063,0.0046,0.0047,0.0035,0.004,0.0024,0.0026,0.0024,0.0016,0.002,0.0068,0.0023,0.0009,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695,0.0407,0.034,0.0243,0.0216,0.0182,0.0168,0.0168,0.0129
2,0.01,0.0135,0.0301,0.024,0.0188,0.0135,0.013,0.0104,0.0081,0.0064,0.0071,0.005,0.0045,0.0043,0.003,0.0032,0.0115,0.0048,0.0018,0.0002,0.0003,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1122,0.0747,0.0604,0.0472,0.0411,0.034,0.0317,0.0289999999999999,0.026099999999999998
3,0.015,0.0361,0.0468,0.0339,0.0273,0.0219,0.0188,0.0157,0.0126,0.0096,0.0098,0.007,0.0069,0.0063,0.0046,0.0046,0.0167,0.0065,0.0027,0.0009,0.0004,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.1083,0.0868,0.0696,0.0621,0.0511,0.0469,0.0424,0.0388
4,0.02,0.0594,0.0601,0.0453,0.037,0.0285,0.024,0.0199,0.0166,0.0132,0.0136,0.0091,0.0091,0.0084,0.0062,0.0062,0.0235,0.0084,0.0037,0.0012,0.0007,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1953,0.1403,0.1147,0.0944,0.0818,0.0663,0.0638,0.0576,0.0508
5,0.025,0.0765,0.0753,0.0566,0.0464,0.0351,0.0298,0.0261,0.0205,0.0168,0.017,0.0122,0.0113,0.0102,0.0081,0.0078,0.0298,0.0103,0.0049,0.0017,0.0008,0.0003,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2405,0.1729,0.1466,0.1181,0.1027,0.0858,0.0829999999999999,0.0725,0.0625
6,0.03,0.0966,0.0935,0.0698,0.0549,0.0417,0.0347,0.0313,0.025,0.0208,0.0184,0.0147,0.0135,0.0125,0.0099,0.009,0.034,0.0134,0.0059,0.0022,0.0014,0.0004,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2907,0.209,0.1764,0.1422999999999999,0.1224,0.105,0.0996,0.0875,0.0741
7,0.035,0.1168,0.1067,0.0806,0.0635,0.049,0.0406,0.0358,0.0293,0.0246,0.0201,0.017,0.0151,0.0149,0.0112,0.0104,0.0391,0.0163,0.0071,0.0027,0.0015,0.0006,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.3413,0.2392999999999999,0.2037,0.1662999999999999,0.1444,0.1249,0.1167,0.102,0.0889
8,0.04,0.141,0.1227,0.0918,0.0742,0.0576,0.0473,0.0413,0.0342,0.0295,0.0232,0.0191,0.0169,0.0174,0.0132,0.0126,0.0438,0.0188,0.008,0.0032,0.0017,0.0009,0.0002,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.3871,0.2727,0.2342,0.1893999999999999,0.1673,0.1453,0.1347,0.1197,0.1034
9,0.045,0.1675,0.141,0.1079,0.087,0.0675,0.0548,0.0476,0.0399,0.034,0.0273,0.0221,0.0203,0.0212,0.0157,0.0141,0.0483,0.0225,0.0093,0.004,0.0024,0.0009,0.0004,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.4363,0.3114,0.2665,0.2191,0.194,0.1718,0.1599,0.1389,0.1218
