,score_x,dim_4_layer_1,dim_4_layer_2,dim_4_layer_3,dim_4_layer_4,dim_4_layer_5,dim_4_layer_6,dim_4_layer_7,dim_4_layer_8,dim_4_layer_9,dim_4_layer_10,dim_4_layer_11,dim_4_layer_12,dim_4_layer_13,dim_4_layer_14,dim_4_layer_15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,0.0024,0.0142,0.0129,0.0103,0.0071,0.0063,0.0046,0.0047,0.0035,0.004,0.0024,0.0026,0.0024,0.0016,0.002
2,0.01,0.0135,0.0301,0.024,0.0188,0.0135,0.013,0.0104,0.0081,0.0063999999999999,0.0071,0.0049999999999999,0.0045,0.0043,0.003,0.0031999999999999997
3,0.015,0.0361,0.0468,0.0339,0.0273,0.0219,0.0188,0.0157,0.0126,0.0096,0.0098,0.0069999999999999,0.0069,0.0063,0.0046,0.0046
4,0.02,0.0594,0.0601,0.0453,0.037,0.0285,0.024,0.0198999999999999,0.0166,0.0132,0.0136,0.0090999999999999,0.0091,0.0084,0.0062,0.0062
5,0.025,0.0765,0.0753,0.0566,0.0464,0.0351,0.0298,0.0260999999999999,0.0205,0.0168,0.0169999999999999,0.0121999999999999,0.0113,0.0101999999999999,0.0081,0.0078
6,0.03,0.0965999999999999,0.0935,0.0698,0.0549,0.0417,0.0347,0.0312999999999999,0.025,0.0208,0.0183999999999999,0.0147,0.0135,0.0124999999999999,0.0098999999999999,0.009
7,0.035,0.1167999999999999,0.1067,0.0806,0.0635,0.049,0.0406,0.0357999999999999,0.0293,0.0246,0.0200999999999999,0.017,0.0151,0.0148999999999999,0.0111999999999999,0.0104
8,0.04,0.141,0.1227,0.0918,0.0742,0.0576,0.0473,0.0412999999999999,0.0342,0.0295,0.0231999999999999,0.0191,0.0169,0.0174,0.0131999999999999,0.0126
9,0.045,0.1674999999999999,0.141,0.1079,0.087,0.0675,0.0548,0.0475999999999999,0.0399,0.0339999999999999,0.0272999999999999,0.0221,0.0203,0.0212,0.0157,0.0141
10,0.05,0.1884999999999999,0.1568,0.1202,0.0971,0.0772,0.0638,0.0537999999999999,0.0437,0.0387999999999999,0.0303999999999999,0.0254,0.0228,0.0244,0.0181999999999999,0.0161
11,0.055,0.2106999999999999,0.1746,0.1328,0.1077,0.0856,0.0698999999999999,0.0596999999999999,0.0494,0.044,0.0337999999999999,0.0285,0.0257,0.0273,0.0195999999999999,0.0189
12,0.06,0.2340999999999999,0.1917,0.1459,0.1194,0.094,0.0762999999999999,0.0653999999999999,0.0552,0.0482,0.0377999999999999,0.0318,0.0281,0.0292,0.0218999999999999,0.0208
13,0.065,0.2578999999999999,0.2092,0.1589,0.1303,0.1008,0.0836,0.0724999999999999,0.0599,0.0534,0.0421999999999999,0.0357,0.0305,0.0325,0.0237999999999999,0.0229
14,0.07,0.284,0.2269,0.1722,0.1408,0.1102,0.0905,0.0776999999999999,0.0654,0.0587,0.0467999999999999,0.0383,0.0337,0.0347,0.0261999999999999,0.025
15,0.075,0.3065,0.2416,0.1861,0.1509,0.1196,0.0998,0.0826999999999999,0.0704,0.0632,0.0522999999999999,0.0406,0.0364,0.0372,0.0281999999999999,0.0273
